date;categoryName;payee;comment;outcomeAccountName;outcome;outcomeCurrencyShortTitle;incomeAccountName;income;incomeCurrencyShortTitle;createdDate;changedDate;qrCode
2026-04-23;"Еда вне дома";"Кафе у работы";"Кофе с утра #работа";"Т-Банк";"497.01";RUB;"Т-Банк";"0";RUB;"2026-04-23 10:13:53";"2026-04-23 10:13:53";
2026-04-22;"Уход за собой";"OldBoy Barbershop";"Семейная стрижка втроём";"Т-Банк";"2327.03";RUB;"Т-Банк";"0";RUB;"2026-04-22 20:45:52";"2026-04-22 20:45:52";
2026-04-22;"Еда дома";"Ашан";"Закупка на неделю";"Т-Банк";"2675.43";RUB;"Т-Банк";"0";RUB;"2026-04-22 19:49:25";"2026-04-22 19:49:25";
2026-04-22;"Одежда";"Bershka";"Bershka для Сергея";"Т-Банк";"19752.75";RUB;"Т-Банк";"0";RUB;"2026-04-22 12:03:40";"2026-04-22 12:03:40";
2026-04-22;"Здоровье";"Горздрав";"Анальгин и парацетамол";"Т-Банк";"1151.41";RUB;"Т-Банк";"0";RUB;"2026-04-22 10:41:21";"2026-04-22 10:41:21";
2026-04-22;"Здоровье";"Семейная клиника";"Ежегодный осмотр Кати #Катя";"Сбер";"23974.7";RUB;"Сбер";"0";RUB;"2026-04-22 10:27:38";"2026-04-22 10:27:38";
2026-04-22;"Транспорт";"Аэроэкспресс";"Поездка на метро";"Сбер";"92.97";RUB;"Сбер";"0";RUB;"2026-04-22 09:05:58";"2026-04-22 09:05:58";
2026-04-22;"Интернет-покупки / Подписки";"ivi";"Подписка ivi";"Т-Банк";"571.64";RUB;"Т-Банк";"0";RUB;"2026-04-22 08:16:39";"2026-04-22 08:16:39";
2026-04-21;"София";"Алина Петровна";"Урок английского с репетитором #дочь";"Т-Банк";"3566.19";RUB;"Т-Банк";"0";RUB;"2026-04-21 17:56:05";"2026-04-21 17:56:05";
2026-04-21;"Транспорт";"Яндекс Такси";"Такси из аэропорта";"Т-Банк";"1220.94";RUB;"Т-Банк";"0";RUB;"2026-04-21 15:51:25";"2026-04-21 15:51:25";
2026-04-21;"Еда вне дома";"Папа Джонс";"Папа Джонс с Катей";"Т-Банк";"2626.91";RUB;"Т-Банк";"0";RUB;"2026-04-21 15:46:14";"2026-04-21 15:46:14";
2026-04-21;"Уход за собой";"Салон красоты";"Окрашивание #Катя";"Т-Банк";"3078.36";RUB;"Т-Банк";"0";RUB;"2026-04-21 10:50:29";"2026-04-21 10:50:29";
2026-04-21;"Еда вне дома";"Cofix";"Кофе с утра #работа";"Т-Банк";"490.21";RUB;"Т-Банк";"0";RUB;"2026-04-21 08:19:14";"2026-04-21 08:19:14";
2026-04-20;"Транспорт";"Аэроэкспресс";"Поездка на метро";"Сбер";"90.06";RUB;"Сбер";"0";RUB;"2026-04-20 15:31:26";"2026-04-20 15:31:26";
2026-04-20;"Еда дома";"Глобус";"Закупка на неделю";"Т-Банк";"11040.3";RUB;"Т-Банк";"0";RUB;"2026-04-20 14:35:31";"2026-04-20 14:35:31";
2026-04-20;"";"";"Снятие наличных в банкомате";"Т-Банк";"10084.26";RUB;"Наличные ₽";"10084.26";RUB;"2026-04-20 10:34:54";"2026-04-20 10:34:54";
2026-04-20;"Интернет-покупки / Подписки";"OpenAI";"ChatGPT Plus подписка #работа";"Т-Банк";"35.66";RUB;"Т-Банк";"0";RUB;"2026-04-20 10:10:03";"2026-04-20 10:10:03";
2026-04-19;"Развлечения";"Кинотеатр Формула Кино";"Поход в Кинотеатр Формула Кино #дочь";"Т-Банк";"6095.61";RUB;"Т-Банк";"0";RUB;"2026-04-19 15:00:16";"2026-04-19 15:00:16";
2026-04-18;"Еда вне дома";"Яндекс Еда";"Завтрак в Яндекс Еда";"Т-Банк";"1875.64";RUB;"Т-Банк";"0";RUB;"2026-04-18 19:20:33";"2026-04-18 19:20:33";
2026-04-18;"Еда дома";"Ашан";"Ашан, забежали по дороге домой";"Сбер";"3583.1";RUB;"Сбер";"0";RUB;"2026-04-18 13:30:53";"2026-04-18 13:30:53";
2026-04-18;"Налоги";"ФНС России";"Возврат НДФЛ по налоговому вычету";"Т-Банк";"0";RUB;"Т-Банк";"70487.09";RUB;"2026-04-18 12:55:14";"2026-04-18 12:55:14";
2026-04-18;"Интернет-покупки / Подписки";"YouTube Premium";"YouTube Premium";"Т-Банк";"441.43";RUB;"Т-Банк";"0";RUB;"2026-04-18 09:13:33";"2026-04-18 09:13:33";
2026-04-17;"Машина";"Парковка центр Москвы";"Парковка в центре #машина";"Т-Банк";"120.08";RUB;"Т-Банк";"0";RUB;"2026-04-17 15:00:22";"2026-04-17 15:00:22";
2026-04-17;"Транспорт";"Яндекс Такси";"Такси домой после работы";"Т-Банк";"689.07";RUB;"Т-Банк";"0";RUB;"2026-04-17 10:55:09";"2026-04-17 10:55:09";
2026-04-17;"Еда вне дома";"Coffee Bean";"Кофе с утра #работа";"Т-Банк";"364.47";RUB;"Т-Банк";"0";RUB;"2026-04-17 10:08:17";"2026-04-17 10:08:17";
2026-04-16;"Еда дома";"Перекрёсток";"Перекрёсток, забежали по дороге домой";"Т-Банк";"3155.09";RUB;"Т-Банк";"0";RUB;"2026-04-16 22:21:43";"2026-04-16 22:21:43";
2026-04-16;"";"";"Снятие наличных в банкомате";"Т-Банк";"13885.47";RUB;"Наличные ₽";"13885.47";RUB;"2026-04-16 19:46:09";"2026-04-16 19:46:09";
2026-04-16;"София";"Алина Петровна";"Урок английского с репетитором #дочь";"Т-Банк";"3566.19";RUB;"Т-Банк";"0";RUB;"2026-04-16 18:14:11";"2026-04-16 18:14:11";
2026-04-16;"Транспорт";"Яндекс Такси";"Такси до клиента #работа";"Т-Банк";"408.03";RUB;"Т-Банк";"0";RUB;"2026-04-16 11:54:42";"2026-04-16 11:54:42";
2026-04-16;"Еда дома";"Азбука Вкуса";"Закупка на неделю";"Т-Банк";"9229.67";RUB;"Т-Банк";"0";RUB;"2026-04-16 08:45:33";"2026-04-16 08:45:33";
2026-04-16;"Еда вне дома";"Coffee Bean";"Кофе с утра #работа";"Т-Банк";"525.34";RUB;"Т-Банк";"0";RUB;"2026-04-16 08:28:41";"2026-04-16 08:28:41";
2026-04-15;"Еда дома";"Самокат";"Самокат #еда";"Т-Банк";"1931.68";RUB;"Т-Банк";"0";RUB;"2026-04-15 10:14:08";"2026-04-15 10:14:08";
2026-04-15;"Интернет-покупки / Подписки";"Spotify";"Spotify Premium";"Т-Банк";"264.02";RUB;"Т-Банк";"0";RUB;"2026-04-15 09:08:27";"2026-04-15 09:08:27";
2026-04-15;"Транспорт";"Яндекс Такси";"Такси из аэропорта";"Т-Банк";"716.56";RUB;"Т-Банк";"0";RUB;"2026-04-15 09:07:14";"2026-04-15 09:07:14";
2026-04-15;"Еда вне дома";"Кафе у работы";"Кофе с утра #работа";"Т-Банк";"480.74";RUB;"Т-Банк";"0";RUB;"2026-04-15 08:21:04";"2026-04-15 08:21:04";
2026-04-14;"София";"Алина Петровна";"Урок английского с репетитором #дочь";"Т-Банк";"3566.19";RUB;"Т-Банк";"0";RUB;"2026-04-14 18:46:10";"2026-04-14 18:46:10";
2026-04-14;"Животные / Кот";"Petshop.ru";"Корм для кота #Барсик";"Т-Банк";"810.01";RUB;"Т-Банк";"0";RUB;"2026-04-14 15:05:27";"2026-04-14 15:05:27";
2026-04-14;"Квартира";"МГТС";"Домашний интернет 500 Мбит/с";"Т-Банк";"998.53";RUB;"Т-Банк";"0";RUB;"2026-04-14 12:15:00";"2026-04-14 12:15:00";
2026-04-14;"Транспорт";"Яндекс Такси";"Такси домой после работы";"Т-Банк";"1122.49";RUB;"Т-Банк";"0";RUB;"2026-04-14 11:07:02";"2026-04-14 11:07:02";
2026-04-14;"Еда вне дома";"KFC";"Ужин в KFC";"Т-Банк";"1738.33";RUB;"Т-Банк";"0";RUB;"2026-04-14 11:00:57";"2026-04-14 11:00:57";
2026-04-13;"Животные / Кот";"Ле'Муррр";"Лоток и наполнитель #Барсик";"Т-Банк";"5630.67";RUB;"Т-Банк";"0";RUB;"2026-04-13 22:15:34";"2026-04-13 22:15:34";
2026-04-13;"Транспорт";"Яндекс Такси";"Такси до офиса";"Т-Банк";"1013.97";RUB;"Т-Банк";"0";RUB;"2026-04-13 18:22:30";"2026-04-13 18:22:30";
2026-04-13;"Транспорт";"Цветы у метро";"Мелочи в киоске";"Наличные ₽";"1959.04";RUB;"Наличные ₽";"0";RUB;"2026-04-13 10:25:51";"2026-04-13 10:25:51";
2026-04-12;"Животные / Кот";"Зоозавр";"Royal Canin для кота #Барсик";"Т-Банк";"3771.94";RUB;"Т-Банк";"0";RUB;"2026-04-12 22:42:32";"2026-04-12 22:42:32";
2026-04-12;"Еда вне дома";"Грузинский погребок";"Завтрак в Грузинский погребок";"Т-Банк";"5336.56";RUB;"Т-Банк";"0";RUB;"2026-04-12 21:48:28";"2026-04-12 21:48:28";
2026-04-12;"Квартира";"ЖКУ-Москва";"Оплата электроэнергии за март";"Т-Банк";"6063.3";RUB;"Т-Банк";"0";RUB;"2026-04-12 20:47:44";"2026-04-12 20:47:44";
2026-04-12;"Машина";"СТО Мазда Авилон";"ТО Mazda3 #машина";"Т-Банк";"15392.07";RUB;"Т-Банк";"0";RUB;"2026-04-12 13:56:08";"2026-04-12 13:56:08";
2026-04-12;"Еда дома";"Азбука Вкуса";"Азбука Вкуса #дочь покупала молоко и хлопья";"Сбер";"6121.65";RUB;"Сбер";"0";RUB;"2026-04-12 13:19:39";"2026-04-12 13:19:39";
2026-04-12;"Интернет-покупки / Подписки";"Кинопоиск HD";"Подписка на кино";"Т-Банк";"835.26";RUB;"Т-Банк";"0";RUB;"2026-04-12 07:51:00";"2026-04-12 07:51:00";
2026-04-11;"Интернет-покупки / Подписки";"Adobe";"Подписка Adobe Creative Cloud #работа";"Сбер";"2139.72";RUB;"Сбер";"0";RUB;"2026-04-11 14:55:21";"2026-04-11 14:55:21";
2026-04-11;"София";"Музыкальная школа";"Урок фортепиано #дочь";"Т-Банк";"4279.43";RUB;"Т-Банк";"0";RUB;"2026-04-11 12:48:03";"2026-04-11 12:48:03";
2026-04-10;"Еда дома";"Метро";"Закупка на неделю";"Сбер";"4866.51";RUB;"Сбер";"0";RUB;"2026-04-10 22:18:04";"2026-04-10 22:18:04";
2026-04-10;"Квартира";"iBank.ZhKU Moscow";"Оплата ЖКУ за март";"Т-Банк";"19866.63";RUB;"Т-Банк";"0";RUB;"2026-04-10 17:55:52";"2026-04-10 17:55:52";
2026-04-10;"Еда вне дома";"Яндекс Лавка";"Завтрак в Яндекс Лавка";"Т-Банк";"2320.31";RUB;"Т-Банк";"0";RUB;"2026-04-10 15:47:25";"2026-04-10 15:47:25";
2026-04-10;"Еда дома";"Азбука Вкуса";"Азбука Вкуса, забежали по дороге домой";"Т-Банк";"9856.35";RUB;"Т-Банк";"0";RUB;"2026-04-10 13:00:20";"2026-04-10 13:00:20";
2026-04-10;"Еда вне дома";"Кафе у работы";"Кофе с утра #работа";"Т-Банк";"439.53";RUB;"Т-Банк";"0";RUB;"2026-04-10 09:35:16";"2026-04-10 09:35:16";
2026-04-09;"Еда дома";"Самокат";"Самокат #еда";"Т-Банк";"1398.63";RUB;"Т-Банк";"0";RUB;"2026-04-09 17:02:33";"2026-04-09 17:02:33";
2026-04-09;"София";"Алина Петровна";"Урок английского с репетитором #дочь";"Т-Банк";"3566.19";RUB;"Т-Банк";"0";RUB;"2026-04-09 16:54:04";"2026-04-09 16:54:04";
2026-04-09;"Еда дома";"ВкусВилл";"ВкусВилл #еда";"Сбер";"5853.57";RUB;"Сбер";"0";RUB;"2026-04-09 14:12:42";"2026-04-09 14:12:42";
2026-04-09;"";"";"Пополнение брокерского счёта";"Т-Банк";"37805.24";RUB;"Т-Банк - Брокерский счёт";"37805.24";RUB;"2026-04-09 13:51:59";"2026-04-09 13:51:59";
2026-04-08;"Здоровье";"Аптека Ригла";"Антибиотики по рецепту";"Т-Банк";"2981.93";RUB;"Т-Банк";"0";RUB;"2026-04-08 18:34:53";"2026-04-08 18:34:53";
2026-04-08;"Еда дома";"Метро";"Метро, фрукты и хлеб";"Т-Банк";"2260.5";RUB;"Т-Банк";"0";RUB;"2026-04-08 15:03:40";"2026-04-08 15:03:40";
2026-04-08;"Транспорт";"Яндекс Такси";"Такси домой после работы";"Т-Банк";"548.86";RUB;"Т-Банк";"0";RUB;"2026-04-08 09:46:29";"2026-04-08 09:46:29";
2026-04-08;"Еда вне дома";"Coffee Bean";"Кофе с утра #работа";"Т-Банк";"353.86";RUB;"Т-Банк";"0";RUB;"2026-04-08 09:37:00";"2026-04-08 09:37:00";
2026-04-08;"Интернет-покупки / Подписки";"iCloud";"iCloud 50 ГБ #apple";"Т-Банк";"148.09";RUB;"Т-Банк";"0";RUB;"2026-04-08 08:30:32";"2026-04-08 08:30:32";
2026-04-07;"Машина";"Газпромнефть";"Заправка #машина";"Т-Банк";"3898.81";RUB;"Т-Банк";"0";RUB;"2026-04-07 22:52:40";"2026-04-07 22:52:40";
2026-04-07;"Транспорт";"Яндекс Такси";"Такси домой после работы";"Т-Банк";"851.63";RUB;"Т-Банк";"0";RUB;"2026-04-07 15:26:27";"2026-04-07 15:26:27";
2026-04-07;"Еда дома";"Окей";"Магазин Окей, на ужин";"Т-Банк";"7519.76";RUB;"Т-Банк";"0";RUB;"2026-04-07 14:33:30";"2026-04-07 14:33:30";
2026-04-07;"Квартира";"ВТБ Ипотека";"Платёж по ипотеке за апрель #ипотека";"Т-Банк";"102706.36";RUB;"Т-Банк";"0";RUB;"2026-04-07 11:28:32";"2026-04-07 11:28:32";
2026-04-07;"Еда вне дома";"Coffee Bean";"Кофе с утра #работа";"Т-Банк";"250.39";RUB;"Т-Банк";"0";RUB;"2026-04-07 09:01:17";"2026-04-07 09:01:17";
2026-04-06;"Животные / Кот";"Зоозавр";"Сухой корм Hill's #Барсик";"Т-Банк";"1496.99";RUB;"Т-Банк";"0";RUB;"2026-04-06 20:09:55";"2026-04-06 20:09:55";
2026-04-06;"Еда дома";"Глобус";"Глобус #дочь покупала молоко и хлопья";"Сбер";"7380.97";RUB;"Сбер";"0";RUB;"2026-04-06 19:54:04";"2026-04-06 19:54:04";
2026-04-06;"";"";"Перевод на накопительный счёт";"Т-Банк";"47253.92";RUB;"Т-Банк - Нак.счет";"47253.92";RUB;"2026-04-06 14:04:03";"2026-04-06 14:04:03";
2026-04-06;"Транспорт";"Яндекс Такси";"Такси до клиента #работа";"Т-Банк";"505.44";RUB;"Т-Банк";"0";RUB;"2026-04-06 10:42:00";"2026-04-06 10:42:00";
2026-04-06;"";"";"Снятие наличных в банкомате";"Т-Банк";"4641.17";RUB;"Наличные ₽";"4641.17";RUB;"2026-04-06 08:47:28";"2026-04-06 08:47:28";
2026-04-06;"Связь";"Билайн";"Мобильная связь Сони #дочь";"Т-Банк";"499.27";RUB;"Т-Банк";"0";RUB;"2026-04-06 08:39:59";"2026-04-06 08:39:59";
2026-04-05;"Зарплата";"Работа Сергея";"Зарплата за март";"Т-Банк";"0";RUB;"Т-Банк";"344295.65";RUB;"2026-04-05 10:45:09";"2026-04-05 10:45:09";
2026-04-05;"Еда дома";"Самокат";"Самокат, фрукты и хлеб";"Т-Банк";"1324.79";RUB;"Т-Банк";"0";RUB;"2026-04-05 10:39:56";"2026-04-05 10:39:56";
2026-04-05;"Интернет-покупки / Подписки";"Яндекс Плюс";"Подписка Яндекс Плюс";"Т-Банк";"391.08";RUB;"Т-Банк";"0";RUB;"2026-04-05 09:27:25";"2026-04-05 09:27:25";
2026-04-04;"Еда вне дома";"Delivery Club";"Delivery Club на обед";"Т-Банк";"3598.61";RUB;"Т-Банк";"0";RUB;"2026-04-04 20:02:04";"2026-04-04 20:02:04";
2026-04-04;"Развлечения";"ВДНХ";"Семейные выходные в ВДНХ";"Т-Банк";"2637.36";RUB;"Т-Банк";"0";RUB;"2026-04-04 17:54:19";"2026-04-04 17:54:19";
2026-04-04;"Еда вне дома";"KFC";"Ужин в KFC";"Т-Банк";"2446.74";RUB;"Т-Банк";"0";RUB;"2026-04-04 10:49:28";"2026-04-04 10:49:28";
2026-04-04;"Связь";"МТС";"Мобильная связь Кати";"Сбер";"998.53";RUB;"Сбер";"0";RUB;"2026-04-04 09:50:26";"2026-04-04 09:50:26";
2026-04-03;"Еда дома";"Пятёрочка";"Пятёрочка #еда";"Т-Банк";"6622.65";RUB;"Т-Банк";"0";RUB;"2026-04-03 21:21:10";"2026-04-03 21:21:10";
2026-04-03;"Связь";"Tele2";"Мобильная связь Сергея";"Т-Банк";"1141.18";RUB;"Т-Банк";"0";RUB;"2026-04-03 08:36:20";"2026-04-03 08:36:20";
2026-04-03;"Еда вне дома";"Cofix";"Кофе с утра #работа";"Т-Банк";"477.31";RUB;"Т-Банк";"0";RUB;"2026-04-03 08:30:43";"2026-04-03 08:30:43";
2026-04-02;"Еда дома";"Метро";"Магазин Метро, на ужин";"Т-Банк";"3415.99";RUB;"Т-Банк";"0";RUB;"2026-04-02 19:39:44";"2026-04-02 19:39:44";
2026-04-02;"София";"Школа гимнастики Юная";"Абонемент на гимнастику #дочь";"Т-Банк";"6419.15";RUB;"Т-Банк";"0";RUB;"2026-04-02 18:35:51";"2026-04-02 18:35:51";
2026-04-02;"Транспорт";"Яндекс Такси";"Такси из аэропорта";"Т-Банк";"551.57";RUB;"Т-Банк";"0";RUB;"2026-04-02 18:26:59";"2026-04-02 18:26:59";
2026-04-02;"София";"Алина Петровна";"Урок английского с репетитором #дочь";"Т-Банк";"3566.19";RUB;"Т-Банк";"0";RUB;"2026-04-02 16:09:44";"2026-04-02 16:09:44";
2026-04-02;"Еда дома";"Метро";"Продукты в Метро";"Т-Банк";"4399.7";RUB;"Т-Банк";"0";RUB;"2026-04-02 14:59:37";"2026-04-02 14:59:37";
2026-04-02;"Еда вне дома";"Cofix";"Кофе с утра #работа";"Т-Банк";"482.3";RUB;"Т-Банк";"0";RUB;"2026-04-02 10:06:27";"2026-04-02 10:06:27";
2026-04-01;"Животные / Собака";"Четыре Лапы";"Корм для собаки #Чарли";"Т-Банк";"6493.1";RUB;"Т-Банк";"0";RUB;"2026-04-01 18:02:10";"2026-04-01 18:02:10";
2026-04-01;"Спорт";"World Class";"Абонемент в фитнес-клуб на апрель";"Т-Банк";"7845.62";RUB;"Т-Банк";"0";RUB;"2026-04-01 11:43:55";"2026-04-01 11:43:55";
2026-04-01;"Транспорт";"Bilet cherez SBP na tr";"Пополнение карты Тройка #дочь";"Т-Банк";"713.24";RUB;"Т-Банк";"0";RUB;"2026-04-01 09:32:14";"2026-04-01 09:32:14";
2026-03-31;"Животные / Собака";"Зоозавр";"Корм для собаки #Чарли";"Т-Банк";"3150.07";RUB;"Т-Банк";"0";RUB;"2026-03-31 21:54:52";"2026-03-31 21:54:52";
2026-03-31;"София";"Алина Петровна";"Урок английского с репетитором #дочь";"Т-Банк";"3546.14";RUB;"Т-Банк";"0";RUB;"2026-03-31 18:51:40";"2026-03-31 18:51:40";
2026-03-31;"Транспорт";"Аэроэкспресс";"Поездка на метро";"Сбер";"98.69";RUB;"Сбер";"0";RUB;"2026-03-31 15:31:16";"2026-03-31 15:31:16";
2026-03-31;"Развлечения";"Музей современного искусства";"Кино всей семьёй Музей современного искусства";"Т-Банк";"4556.79";RUB;"Т-Банк";"0";RUB;"2026-03-31 08:22:52";"2026-03-31 08:22:52";
2026-03-30;"Еда дома";"Пятёрочка";"Продукты в Пятёрочка";"Т-Банк";"4233.17";RUB;"Т-Банк";"0";RUB;"2026-03-30 19:13:05";"2026-03-30 19:13:05";
2026-03-30;"Кешбэк";"Т-Банк";"Кешбэк за март";"Т-Банк";"0";RUB;"Т-Банк";"728.83";RUB;"2026-03-30 11:00:11";"2026-03-30 11:00:11";
2026-03-30;"Еда вне дома";"Coffee Bean";"Кофе с утра #работа";"Т-Банк";"440.62";RUB;"Т-Банк";"0";RUB;"2026-03-30 08:05:38";"2026-03-30 08:05:38";
2026-03-29;"Еда дома";"Метро";"Метро, забежали по дороге домой";"Т-Банк";"2523.31";RUB;"Т-Банк";"0";RUB;"2026-03-29 22:18:29";"2026-03-29 22:18:29";
2026-03-29;"Еда дома";"Пятёрочка";"Магазин Пятёрочка, на ужин";"Т-Банк";"6005.7";RUB;"Т-Банк";"0";RUB;"2026-03-29 12:22:06";"2026-03-29 12:22:06";
2026-03-28;"Еда дома";"Магнит";"Продукты в Магнит";"Сбер";"3971.71";RUB;"Сбер";"0";RUB;"2026-03-28 21:41:34";"2026-03-28 21:41:34";
